grid_size,n_robots,n_targets,n_failures,num_experiments,experiment_id,n_targets_found,t_targets_e2,t_coverage_e2,percent_coverage,mean_found_e2,algorithm,algorithm_label,experiment,simulation_id,failure_time_mode,horizon,target_found_fraction_e2,coverage_fraction_e2,t_targets_horizon_fraction_e2,t_coverage_horizon_fraction_e2,num_simulations,t_targets_e1,t_coverage_e1,t_targets_horizon_fraction_e1,t_coverage_horizon_fraction_e1,target_found_fraction_e1,coverage_fraction_e1,mean_found_e1,delta_t_targets,pct_change_t_targets,delta_t_coverage,pct_change_t_coverage,delta_t_targets_horizon_fraction,pct_change_t_targets_horizon_fraction,delta_t_coverage_horizon_fraction,pct_change_t_coverage_horizon_fraction,delta_target_found_fraction,delta_coverage_fraction,delta_mean_found
50,5,15,1,10,9,15,251,395,100.0,0.6850632911392407,stigmergy_search,Stigmergy Efficient Search,E2,10,early,5000.0,1.0,1.0,0.0502,0.079,10.0,262,465,0.0524,0.093,1.0,1.0,0.7308960573476705,-11,-4.198473282442748,-70,-15.053763440860216,-0.0022000000000000006,-4.198473282442749,-0.013999999999999999,-15.053763440860212,0.0,0.0,-0.0458327662084298
50,5,15,1,10,10,15,408,641,100.0,0.7243889755590219,stigmergy_search,Stigmergy Efficient Search,E2,1,early,5000.0,1.0,1.0,0.0816,0.1282,10.0,310,613,0.062,0.1226,1.0,1.0,0.7417074497009247,98,31.61290322580645,28,4.567699836867863,0.019600000000000006,31.61290322580646,0.005600000000000008,4.567699836867869,0.0,0.0,-0.017318474141902795
50,5,15,1,10,10,15,345,534,100.0,0.7575530586766555,stigmergy_search,Stigmergy Efficient Search,E2,2,early,5000.0,1.0,1.0,0.069,0.1068,10.0,322,432,0.0644,0.0864,1.0,1.0,0.7149691358024697,23,7.142857142857142,102,23.61111111111111,0.004600000000000007,7.142857142857154,0.0204,23.61111111111111,0.0,0.0,0.042583922874185776
50,5,15,1,10,10,15,288,601,100.0,0.7735995562950638,stigmergy_search,Stigmergy Efficient Search,E2,3,early,5000.0,1.0,1.0,0.0576,0.1202,10.0,398,461,0.0796,0.0922,1.0,1.0,0.6695589298626197,-110,-27.63819095477387,140,30.36876355748373,-0.022000000000000006,-27.638190954773872,0.027999999999999997,30.368763557483724,0.0,0.0,0.10404062643244416
50,5,15,1,10,10,15,542,692,100.0,0.8216763005780362,stigmergy_search,Stigmergy Efficient Search,E2,4,early,5000.0,1.0,1.0,0.1084,0.1384,10.0,258,486,0.0516,0.0972,1.0,1.0,0.7978052126200268,284,110.07751937984496,206,42.38683127572017,0.056799999999999996,110.07751937984496,0.0412,42.38683127572017,0.0,0.0,0.023871087958009407
50,5,15,1,10,10,15,422,500,100.0,0.7474666666666682,stigmergy_search,Stigmergy Efficient Search,E2,5,early,5000.0,1.0,1.0,0.0844,0.1,10.0,260,439,0.052,0.0878,1.0,1.0,0.7409263477600609,162,62.30769230769231,61,13.895216400911162,0.032400000000000005,62.30769230769232,0.012200000000000003,13.895216400911165,0.0,0.0,0.006540318906607223
50,5,15,1,10,10,15,247,367,100.0,0.7257039055404173,stigmergy_search,Stigmergy Efficient Search,E2,6,early,5000.0,1.0,1.0,0.0494,0.0734,10.0,247,375,0.0494,0.075,1.0,1.0,0.7315555555555551,0,0.0,-8,-2.1333333333333333,0.0,0.0,-0.0015999999999999903,-2.1333333333333204,0.0,0.0,-0.005851650015137766
50,5,15,1,10,10,15,430,517,100.0,0.81096067053514,stigmergy_search,Stigmergy Efficient Search,E2,7,early,5000.0,1.0,1.0,0.086,0.1034,10.0,320,509,0.064,0.1018,1.0,1.0,0.822396856581533,110,34.375,8,1.5717092337917484,0.021999999999999992,34.374999999999986,0.0016000000000000042,1.5717092337917526,0.0,0.0,-0.011436186046393071
50,5,15,1,10,10,15,383,443,100.0,0.6555304740406336,stigmergy_search,Stigmergy Efficient Search,E2,8,early,5000.0,1.0,1.0,0.0766,0.0886,10.0,337,385,0.0674,0.077,1.0,1.0,0.6360173160173161,46,13.649851632047477,58,15.064935064935064,0.0092,13.649851632047477,0.0116,15.064935064935064,0.0,0.0,0.019513158023317434
50,5,15,1,10,10,15,306,477,100.0,0.6922431865828094,stigmergy_search,Stigmergy Efficient Search,E2,9,early,5000.0,1.0,1.0,0.0612,0.0954,10.0,334,636,0.0668,0.1272,1.0,1.0,0.7834381551362685,-28,-8.383233532934131,-159,-25.0,-0.005600000000000001,-8.383233532934133,-0.03180000000000001,-25.000000000000007,0.0,0.0,-0.0911949685534591
50,5,15,1,10,10,15,414,642,100.0,0.7188992731048814,stigmergy_search,Stigmergy Efficient Search,E2,10,early,5000.0,1.0,1.0,0.0828,0.1284,10.0,406,592,0.0812,0.1184,1.0,1.0,0.7356981981981991,8,1.9704433497536946,50,8.445945945945946,0.0016000000000000042,1.9704433497536997,0.009999999999999981,8.44594594594593,0.0,0.0,-0.016798925093317707
50,5,15,1,10,1,15,364,446,100.0,0.5689088191330354,stigmergy_search,Stigmergy Efficient Search,E2,1,middle,5000.0,1.0,1.0,0.0728,0.0892,10.0,364,441,0.0728,0.0882,1.0,1.0,0.564021164021165,0,0.0,5,1.1337868480725624,0.0,0.0,0.0010000000000000009,1.1337868480725635,0.0,0.0,0.004887655111870393
