grid_size,n_search_robots,requested_distance_shell,spawn_position_id,algorithm_seed,target_x,target_y,search_robot_id,search_start_x,search_start_y,initial_distance,time_to_attractive_detection,distance_at_detection,mode_switch_step,found,steps_to_target,time_from_detection_to_target,path_efficiency,post_detection_path_efficiency,convergence_rate,stagnation_count,post_detection_stagnation_count,final_distance
50,2,40,3,544405,25,25,2,0,40,40,35.0,8.0,35.0,1,43.0,8.0,0.9302325581395349,1.0,0.875,2,1,1
50,2,40,3,544406,25,25,1,0,10,40,157.0,16.0,157.0,1,171.0,14.0,0.23391812865497075,1.1428571428571428,1.0714285714285714,66,0,1
50,2,40,3,544406,25,25,2,0,40,40,,,,0,,,,,,84,0,38
50,2,40,3,544407,25,25,1,0,10,40,99.0,10.0,99.0,0,,,,,,34,0,3
50,2,40,3,544407,25,25,2,0,40,40,99.0,8.0,99.0,1,105.0,6.0,0.38095238095238093,1.3333333333333333,1.1666666666666667,33,0,1
50,2,40,3,544408,25,25,1,0,10,40,,,,0,,,,,,134,0,40
50,2,40,3,544408,25,25,2,0,40,40,234.0,15.0,234.0,1,268.0,34.0,0.14925373134328357,0.4411764705882353,0.4117647058823529,115,11,1
50,2,40,3,544409,25,25,1,0,10,40,,,,0,,,,,,138,0,37
50,2,40,3,544409,25,25,2,0,40,40,257.0,24.0,257.0,1,279.0,22.0,0.14336917562724014,1.0909090909090908,1.0454545454545454,120,0,1
50,2,40,3,544410,25,25,1,0,10,40,91.0,14.0,91.0,1,103.0,12.0,0.3883495145631068,1.1666666666666667,1.0833333333333333,32,0,1
50,2,40,3,544410,25,25,2,0,40,40,,,,0,,,,,,39,0,16
50,2,50,4,544501,25,25,1,0,1,49,43.0,7.0,43.0,1,48.0,5.0,1.0208333333333333,1.4,1.2,0,0,1
50,2,50,4,544501,25,25,2,0,49,49,43.0,7.0,43.0,0,,,,,,0,0,2
50,2,50,4,544502,25,25,1,0,1,49,380.0,26.0,380.0,0,,,,,,178,0,11
50,2,50,4,544502,25,25,2,0,49,49,380.0,16.0,380.0,1,394.0,14.0,0.12436548223350254,1.1428571428571428,1.0714285714285714,173,0,1
50,2,50,4,544503,25,25,1,0,1,49,186.0,12.0,186.0,0,,,,,,74,0,3
50,2,50,4,544503,25,25,2,0,49,49,186.0,10.0,186.0,1,194.0,8.0,0.25257731958762886,1.25,1.125,73,0,1
50,2,50,4,544504,25,25,1,0,1,49,186.0,14.0,186.0,1,198.0,12.0,0.2474747474747475,1.1666666666666667,1.0833333333333333,75,0,1
50,2,50,4,544504,25,25,2,0,49,49,,,,0,,,,,,97,0,46
50,2,50,4,544505,25,25,1,0,1,49,43.0,7.0,43.0,1,48.0,5.0,1.0208333333333333,1.4,1.2,0,0,1
50,2,50,4,544505,25,25,2,0,49,49,43.0,7.0,43.0,0,,,,,,0,0,2
50,2,50,4,544506,25,25,1,0,1,49,89.0,9.0,89.0,1,96.0,7.0,0.5104166666666666,1.2857142857142858,1.1428571428571428,24,0,1
